epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
68,445.954,0.62135,1.01265,0.50968,0.99901,0,0.82046,0.61686,0.70564,0.51017,0.8225,0.61402,0.69611,0.48312,1.05491,1.73989,0.95399,1.35706,0,0.0003367,0.0003367,0.0003367
69,452.222,0.62868,1.01657,0.52041,1.00139,0,0.75457,0.66522,0.71604,0.53053,0.74377,0.64401,0.68185,0.49994,0.9763,1.72986,0.93345,1.26609,0,0.0003268,0.0003268,0.0003268
70,458.599,0.65585,1.14111,0.63405,1.04442,0,0.83796,0.63997,0.75767,0.55861,0.77741,0.68326,0.75394,0.52367,0.95562,1.75296,0.87998,1.26731,0,0.0003169,0.0003169,0.0003169
71,464.94,0.63204,1.00044,0.50136,1.02531,0,0.81299,0.68689,0.74877,0.56245,0.81299,0.68689,0.72549,0.50864,0.96692,1.86642,0.86754,1.318,0,0.000307,0.000307,0.000307
72,472.449,0.57522,0.96331,0.47967,0.98366,0,0.87609,0.6543,0.73648,0.53768,0.80832,0.70405,0.74279,0.5038,0.96165,1.87277,0.8695,1.31613,0,0.0002971,0.0002971,0.0002971
73,479.189,0.60263,0.9561,0.51626,1.00086,0,0.79108,0.67626,0.71151,0.53306,0.78782,0.67348,0.69754,0.48206,0.95576,1.8374,0.88756,1.31309,0,0.0002872,0.0002872,0.0002872
74,485.429,0.62726,1.14232,0.54172,1.00381,0,0.72997,0.73393,0.75262,0.56163,0.71361,0.72488,0.73373,0.51996,0.98517,1.70392,0.78248,1.29741,0,0.0002773,0.0002773,0.0002773
75,491.635,0.60098,1.00219,0.50679,0.99032,0,0.81135,0.69659,0.76122,0.56895,0.79486,0.68504,0.74044,0.5167,0.96368,1.77319,0.81122,1.27118,0,0.0002674,0.0002674,0.0002674
76,497.877,0.57577,0.99478,0.49226,0.98738,0,0.83588,0.67668,0.76058,0.56714,0.85065,0.67828,0.74581,0.52366,1.01387,1.7571,0.83205,1.31935,0,0.0002575,0.0002575,0.0002575
77,504.075,0.56471,0.97589,0.46696,0.97192,0,0.83928,0.69972,0.75401,0.56521,0.83604,0.69694,0.733,0.53288,0.96187,1.78549,0.84326,1.30263,0,0.0002476,0.0002476,0.0002476
78,510.293,0.57751,0.98689,0.48806,0.97603,0,0.86069,0.69169,0.77653,0.57245,0.85306,0.68278,0.74524,0.53313,0.97856,1.74735,0.84923,1.27744,0,0.0002377,0.0002377,0.0002377
79,516.571,0.58793,0.96458,0.48078,0.98598,0,0.77123,0.72429,0.7494,0.55745,0.76622,0.72952,0.74791,0.5395,0.97894,1.82976,0.82614,1.2839,0,0.0002278,0.0002278,0.0002278
80,522.959,0.63333,1.11087,0.4717,1.05349,0,0.8263,0.68084,0.74341,0.5561,0.84675,0.68909,0.75675,0.53434,1.01084,1.87705,0.90515,1.31861,0,0.0002179,0.0002179,0.0002179
81,529.208,0.61684,1.01611,0.4876,1.00898,0,0.83,0.68245,0.75741,0.57166,0.86941,0.69725,0.75933,0.54381,0.99397,1.83788,0.89954,1.30185,0,0.000208,0.000208,0.000208
82,535.497,0.55432,0.8726,0.45065,0.96827,0,0.80213,0.67199,0.73794,0.55889,0.83852,0.66459,0.74241,0.53653,0.98829,1.82805,0.85016,1.31371,0,0.0001981,0.0001981,0.0001981
83,541.756,0.56358,0.93771,0.47246,0.97794,0,0.82348,0.6801,0.75869,0.5635,0.83781,0.67619,0.73944,0.54325,0.94571,1.75946,0.8196,1.28567,0,0.0001882,0.0001882,0.0001882
84,548.039,0.5809,0.99295,0.48474,0.97565,0,0.79252,0.69558,0.76356,0.57952,0.80701,0.69765,0.74271,0.53273,0.92012,1.77313,0.80828,1.24883,0,0.0001783,0.0001783,0.0001783
85,554.344,0.54676,0.89708,0.43641,0.96201,0,0.76492,0.77022,0.7746,0.56746,0.75229,0.75709,0.75491,0.52169,0.91539,1.79616,0.78834,1.23859,0,0.0001684,0.0001684,0.0001684
86,560.598,0.5376,0.93193,0.45845,0.96284,0,0.82257,0.71435,0.77246,0.56668,0.83382,0.68975,0.72697,0.50973,0.94455,1.88022,0.85274,1.25872,0,0.0001585,0.0001585,0.0001585
87,566.828,0.52585,0.87735,0.41314,0.96334,0,0.84776,0.67937,0.74659,0.54476,0.86283,0.6783,0.72532,0.50181,0.9306,1.8326,0.87568,1.27158,0,0.0001486,0.0001486,0.0001486
88,573.153,0.56356,0.91713,0.44446,0.95697,0,0.8158,0.68969,0.75485,0.56138,0.83307,0.67958,0.73732,0.51249,0.91688,1.82092,0.8583,1.26611,0,0.0001387,0.0001387,0.0001387
89,579.412,0.53813,0.90167,0.44336,0.94927,0,0.84359,0.66154,0.75762,0.56192,0.83695,0.65598,0.74155,0.51416,0.94429,1.81971,0.83714,1.29417,0,0.0001288,0.0001288,0.0001288
90,585.647,0.67363,1.39186,0.72789,1.15574,0,0.81892,0.68563,0.77396,0.57659,0.88436,0.65133,0.74948,0.52358,0.888,1.81984,0.83878,1.24547,0,0.0001189,0.0001189,0.0001189
91,53.689,0.64192,1.01922,0.66771,1.10339,0,0.76859,0.73287,0.75114,0.57429,0.78989,0.70874,0.73417,0.52082,0.92808,1.93646,0.87453,1.26639,0,0.000109,0.000109,0.000109
92,59.6934,0.52296,0.8759,0.50041,1.02363,0,0.80284,0.7335,0.75536,0.54835,0.80375,0.72471,0.73765,0.49749,0.97177,1.96522,0.85494,1.30143,0,9.91e-05,9.91e-05,9.91e-05
93,65.6197,0.45977,0.81559,0.46694,0.95295,0,0.80829,0.71481,0.77367,0.57947,0.80167,0.70925,0.75873,0.53368,0.94487,1.95204,0.8321,1.28969,0,8.92e-05,8.92e-05,8.92e-05
94,71.792,0.49331,0.78291,0.41123,0.9508,0,0.85768,0.7059,0.77346,0.57649,0.84645,0.69766,0.77063,0.53457,0.9306,1.9279,0.82128,1.26804,0,7.93e-05,7.93e-05,7.93e-05
95,77.8396,0.51732,0.82272,0.53587,0.96616,0,0.84646,0.72445,0.77453,0.58414,0.84936,0.72326,0.76401,0.53869,0.92515,1.90491,0.8102,1.26448,0,6.94e-05,6.94e-05,6.94e-05
96,83.8615,0.57935,0.91771,0.45536,1.0794,0,0.84435,0.70086,0.76188,0.57346,0.83753,0.71028,0.75634,0.52696,0.91363,1.90168,0.82841,1.25206,0,5.95e-05,5.95e-05,5.95e-05
97,89.7591,0.49252,0.86383,0.43675,0.97632,0,0.83537,0.69236,0.76966,0.58579,0.81949,0.67941,0.75037,0.53773,0.90863,1.92825,0.83236,1.25184,0,4.96e-05,4.96e-05,4.96e-05
98,95.8079,0.44409,0.72055,0.3822,0.93665,0,0.82282,0.70114,0.77012,0.58441,0.81604,0.69558,0.758,0.54029,0.92147,1.92486,0.84833,1.26373,0,3.97e-05,3.97e-05,3.97e-05
99,101.921,0.43748,0.77538,0.39102,0.91907,0,0.83499,0.69755,0.77436,0.57351,0.81638,0.68288,0.74215,0.5272,0.9204,1.91957,0.82589,1.25755,0,2.98e-05,2.98e-05,2.98e-05
100,107.923,0.48577,0.79876,0.47383,0.97592,0,0.84665,0.70114,0.76856,0.57382,0.83048,0.68801,0.7414,0.5235,0.90684,1.91012,0.8192,1.24681,0,1.99e-05,1.99e-05,1.99e-05
