epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
88,2304.37,0.6616,1.2201,0.62998,0.98782,0,0.64789,0.77429,0.74391,0.47416,0.8243,0.63294,0.70995,0.44908,1.63178,3.31303,1.24697,1.92879,0,0.000173375,0.000173375,0.000173375
89,2346.91,0.68106,1.21483,0.62736,0.98882,0,0.71484,0.74603,0.74908,0.4812,0.6826,0.72222,0.73184,0.45654,1.55099,3.18838,1.20879,1.83458,0,0.000161,0.000161,0.000161
90,2390.12,0.68077,1.16341,0.63532,0.99454,0,0.74839,0.71411,0.75018,0.51772,0.72115,0.70273,0.73781,0.45478,1.52089,3.13056,1.19521,1.82186,0,0.000148625,0.000148625,0.000148625
91,2432.05,0.69394,1.22616,0.86816,1.006,0,0.75163,0.74309,0.75167,0.51695,0.70902,0.72182,0.72791,0.44815,1.5111,3.20984,1.20679,1.80594,0,0.00013625,0.00013625,0.00013625
92,2471.7,0.6631,1.16482,0.77743,1.00224,0,0.71793,0.74603,0.72591,0.49977,0.71793,0.74603,0.72196,0.43195,1.52882,3.26477,1.39218,1.78453,0,0.000123875,0.000123875,0.000123875
93,2512.52,0.65622,1.11435,0.77949,0.99427,0,0.77639,0.73413,0.73451,0.49358,0.74699,0.72366,0.70672,0.43247,1.55697,3.24,1.42674,1.82193,0,0.0001115,0.0001115,0.0001115
94,2554.44,0.60155,1.1294,0.69332,0.96718,0,0.73301,0.74214,0.71132,0.49111,0.6843,0.71032,0.68544,0.43219,1.5986,3.24851,1.39735,1.92059,0,9.9125e-05,9.9125e-05,9.9125e-05
95,2597.34,0.6204,1.089,0.71309,0.99323,0,0.72101,0.74432,0.70901,0.4768,0.76331,0.68752,0.71257,0.42788,1.68217,3.27325,1.34341,1.99892,0,8.675e-05,8.675e-05,8.675e-05
96,2640.4,0.59394,1.05498,0.69876,0.98036,0,0.68756,0.72847,0.70898,0.46709,0.76604,0.63786,0.68847,0.4219,1.67306,3.2939,1.31759,2.00519,0,7.4375e-05,7.4375e-05,7.4375e-05
97,2682.81,0.62463,1.05984,0.69498,0.97504,0,0.80085,0.73566,0.79193,0.48038,0.77218,0.69666,0.70819,0.42877,1.64274,3.33186,1.28213,1.99515,0,6.2e-05,6.2e-05,6.2e-05
98,2722.96,0.60889,1.03098,0.66302,0.97348,0,0.77295,0.75131,0.73568,0.48335,0.78709,0.69706,0.71823,0.43404,1.60467,3.37695,1.25659,1.96917,0,4.9625e-05,4.9625e-05,4.9625e-05
99,2764.37,0.55436,1.01551,0.6556,0.95662,0,0.77779,0.74671,0.74401,0.49196,0.78548,0.71968,0.7337,0.43483,1.60005,3.37178,1.20938,1.97645,0,3.725e-05,3.725e-05,3.725e-05
100,2806.31,0.58942,1.04324,0.66631,0.98125,0,0.72533,0.75794,0.73033,0.49853,0.80172,0.71516,0.74107,0.4363,1.56984,3.39185,1.22249,1.89905,0,2.4875e-05,2.4875e-05,2.4875e-05
